type	latitude	longitude	
W	51.5262610	-0.1362133	
W	51.5261542	-0.1359987	
W	51.5259139	-0.1359129	
W	51.5258071	-0.1357412	
W	51.5257003	-0.1357841	
W	51.5257003	-0.1357841	
W	51.5250061	-0.1353979	
W	51.5247925	-0.1352262	
W	51.5245522	-0.1350975	
W	51.5243653	-0.1349688	
W	51.5242585	-0.1349258	
W	51.5242051	-0.1349258	
W	51.5234842	-0.1344538	
W	51.5232972	-0.1344109	
W	51.5231370	-0.1341963	
W	51.5228433	-0.1341105	
W	51.5227365	-0.1340675	
W	51.5225763	-0.1339817	
W	51.5224428	-0.1339388	
W	51.5218820	-0.1335955	
W	51.5217218	-0.1335526	
W	51.5215349	-0.1335955	
W	51.5212946	-0.1336384	
W	51.5211611	-0.1336384	
W	51.5210542	-0.1336384	
W	51.5208940	-0.1335955	
W	51.5278363	-0.1313639	
W	51.5276761	-0.1311922	
W	51.5275159	-0.1310205	
W	51.5272489	-0.1307201	
W	51.5272489	-0.1306772	
W	51.5271688	-0.1305270	
W	51.5268885	-0.1302695	
W	51.5270620	-0.1304412	
W	51.5268351	-0.1302695	
W	51.5265013	-0.1298833	
W	51.5263011	-0.1296258	
W	51.5264746	-0.1297760	
W	51.5261542	-0.1294541	
W	51.5259673	-0.1292396	
W	51.5261142	-0.1294327	
W	51.5258605	-0.1291108	
W	51.5257270	-0.1289821	
W	51.5256603	-0.1288748	
W	51.5255535	-0.1288104	
W	51.5255134	-0.1287246	
W	51.5251930	-0.1284456	
W	51.5250729	-0.1283169	
W	51.5249661	-0.1281452	
W	51.5248993	-0.1280165	
W	51.5246857	-0.1277161	
W	51.5244988	-0.1276302	
W	51.5243119	-0.1274371	
W	51.5237245	-0.1267719	
W	51.5234842	-0.1265144	
W	51.5232438	-0.1263428	
W	51.5232438	-0.1261711	
W	51.5230836	-0.1261282	
W	51.5226564	-0.1255703	
W	51.5224962	-0.1252699	
W	51.5222559	-0.1250124	
W	51.5221758	-0.1248837	
W	51.5221224	-0.1247120	
W	51.5220155	-0.1247120	
W	51.5298387	-0.1242828	
W	51.5297586	-0.1244116	
W	51.5295450	-0.1243687	
W	51.5293848	-0.1242828	
W	51.5292247	-0.1243687	
W	51.5290912	-0.1244116	
W	51.5289844	-0.1244116	
W	51.5288509	-0.1244545	
W	51.5287174	-0.1244974	
W	51.5285839	-0.1244974	
W	51.5283970	-0.1246262	
W	51.5282368	-0.1247549	
W	51.5276761	-0.1250124	
W	51.5273290	-0.1249695	
W	51.5270887	-0.1250553	
W	51.5268217	-0.1250124	
W	51.5266615	-0.1250124	
W	51.5265547	-0.1250982	
